accession,source,disposition,analysis_role,reason_or_guardrail,screening_audit_date,audit_status,assay_or_resource,released_input_used,reported_or_retained_units,inferential_unit,pairing_or_independence,missing_or_unavailable,preprocessing_or_mapping,sensitivity_or_guardrail,claim_ceiling
GSE113619,GEO,included,paired wound induction,participant-level longitudinal design,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,participant-level longitudinal design,"Tiered paired wound induction evidence only; no diagnostic, prognostic or efficacy claim"
GSE130973,GEO,included_context,healthy reference transfer,healthy skin only; no disease contrast,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,healthy skin only; no disease contrast,"Tiered healthy reference transfer evidence only; no diagnostic, prognostic or efficacy claim"
GSE145725,GEO,screened_secondary_not_run,unpaired culture-domain candidate,"Five keloid and five normal fibroblast lines with technical replicates; raw CEL files are public, but this unpaired culture contrast was lower priority after independent patient-level and measured-response expansions and was not used as a direction-dependent inclusion.",2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,"Five keloid and five normal fibroblast lines with technical replicates; raw CEL files are public, but this unpaired culture contrast was lower priority after independent patient-level and measured-response expansions and was not used as a direction-dependent inclusion.",Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE151177,GEO,included_boundary,protocol transfer boundary,no cells passed frozen fibroblast transfer,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,no cells passed frozen fibroblast transfer,"Tiered protocol transfer boundary evidence only; no diagnostic, prognostic or efficacy claim"
GSE151464,GEO,not_evaluable,paired transcriptome candidate,"GEO describes matched mRNA/circRNA/miRNA sequencing, but the released processed supplement contains circRNA tables only; no fixed 18-gene mRNA projection was inferred.",2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,"GEO describes matched mRNA/circRNA/miRNA sequencing, but the released processed supplement contains circRNA tables only; no fixed 18-gene mRNA projection was inferred.",Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE156326,GEO,included,hypertrophic-scar frozen projection,three donors per group,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,three donors per group,"Tiered hypertrophic-scar frozen projection evidence only; no diagnostic, prognostic or efficacy claim"
GSE158395,GEO,included,ancestry and reference sensitivity,"three paired lesion-nonlesion participants are primary; GEO has six normal matrices but the paper reports five healthy controls, so both secondary references and composition residualisation are sensitivities",2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Bulk RNA-seq,Released expression matrix and source metadata,Three paired lesion/non-lesion participants; six released normal-skin matrices,Participant for paired inference,Two lesion profiles for one participant were averaged; lesion/non-lesion pairing was preserved,The matrix contains six normal profiles whereas the paper reports five controls; the emerging-lesion label was unresolved,"Fixed projection, source-aligned five-control and six-matrix references, and FSSI-excluded deconvolution",Paired primary analysis plus two normal-reference and composition-residual sensitivities,Small paired population-context evidence; self-identified race is not genetic ancestry
GSE163973,GEO,included_development,state development,donor mapping sensitivity retained,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,10x Genomics scRNA-seq,Released count matrices and sample metadata,Development cells and donor mappings under three documented scenarios,Donor pseudobulk within accession,Donor mapping was uncertain and analysed under three scenarios,A single definitive donor map was unavailable,"Per-sample QC, integration and fibroblast pseudobulk construction before model freezing",Donor-mapping sensitivity and hierarchical dataset-donor bootstrap,Development evidence for coordinate construction; not independent external validation
GSE165816,GEO,excluded_adjacent_disease,diabetic-foot-ulcer context,impaired healing rather than pathological scar,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,impaired healing rather than pathological scar,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE166120,GEO,excluded_adjacent_disease,diabetic-foot-ulcer spatial context,GeoMx impaired-healing panel outside core scar question,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,GeoMx impaired-healing panel outside core scar question,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
