Data_S23_Evidence: What is the final evidence scope for each candidate?
"Source file(s): anonymous_source_050.csv | Boundary: Classes preserve support, discordance, not tested and not evaluable; they are not efficacy ranks."

candidate,candidate_class,proposed_direction,state_association,target_excluded_state_direction,target_excluded_external_transfer,axis_blind_donor_communication,target_specific_measured_response,candidate_level_external_support,causal_claim_allowed,manuscript_location,reviewer_safe_interpretation,evidence_domains_supported,evidence_tier,measured_response_tested,measured_response_scope,measured_response_direction,germline_genetic_evidence,evidence_scope
RUNX2,externally_discovered_measured_perturbation,knockdown,False,,,False,True,True,True,main_text_measured_perturbation,measured siRUNX2 expression response lowered the fixed-weight programme in three pairs; the confidence interval includes zero and does not establish clinical efficacy,1,A_measured_target_response,True,programme_wide_fixed_weight_response,directionally_concordant_all_three_pairs,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
POSTN,state_anchor_with_measured_local_module_test,KO_down,True,True,True,True,False,True,False,main_text_anchor,multidomain association candidate with measured POSTN/Fib5-module reduction but no full-programme reversal,4,B_multidomain_with_local_measured_response,True,local_Fib5_module_only,global_fixed_weight_response_discordant,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
ADAM12,state_anchor_seed,KO_down,True,True,True,False,False,True,False,supplementary,observational state-shift priority with target-excluded sensitivity; not a perturbation response,3,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
APOD,state_anchor_seed,OE_up,True,True,True,False,False,True,False,main_text_anchor,observational state-shift priority with target-excluded sensitivity; not a perturbation response,3,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
COL12A1,state_anchor_seed,KO_down,True,True,True,False,False,True,False,supplementary,observational state-shift priority with target-excluded sensitivity; not a perturbation response,3,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
COMP,state_anchor_seed,KO_down,True,True,True,False,False,True,False,supplementary,observational state-shift priority with target-excluded sensitivity; not a perturbation response,3,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
DCN,state_anchor_seed,OE_up,True,True,True,False,False,True,False,supplementary,observational state-shift priority with target-excluded sensitivity; not a perturbation response,3,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
FAP,state_anchor_seed,KO_down,True,True,True,False,False,True,False,supplementary,observational state-shift priority with target-excluded sensitivity; not a perturbation response,3,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
PI16,state_anchor_seed,OE_up,True,True,True,False,False,True,False,main_text_anchor,observational state-shift priority with target-excluded sensitivity; not a perturbation response,3,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
CSF1,nonseed_communication_ligand,context_dependent,False,,,True,False,False,False,main_text_axis,axis-blind donor association; not target-specific external validation,1,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
CXCL12,nonseed_communication_ligand,context_dependent,False,,,True,False,False,False,main_text_axis,axis-blind donor association; not target-specific external validation,1,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
PDGFB,nonseed_communication_ligand,context_dependent,False,,,True,False,False,False,supplementary,axis-blind donor association; not target-specific external validation,1,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
TGFB1,nonseed_communication_ligand,context_dependent,False,,,True,False,False,False,main_text_axis,axis-blind donor association; not target-specific external validation,1,C_single_domain_prioritization,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
COL11A1,state_anchor_seed,KO_down,True,True,False,False,False,False,False,supplementary,observational state-shift priority with target-excluded sensitivity; not a perturbation response,2,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
PTGDS,state_anchor_seed,OE_up,True,True,False,False,False,False,False,main_text_anchor,observational state-shift priority with target-excluded sensitivity; not a perturbation response,2,D_exploratory,False,not_tested,not_tested,not_supported,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
CEBPB,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
CEBPD,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
FOS,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
JUNB,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
KLF4,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
KLF9,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
OSR2,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
ZFP36,exploratory_grn_tf_nonseed,OE_up,True,False,False,False,False,False,False,supplementary,model sensitivity candidate requiring measured perturbation,1,D_exploratory,False,not_tested,not_tested,not_evaluable,"State, exclusion, communication, germline susceptibility and measured response are non-interchangeable domains"
